clave,entidad,clavereg,region
1,Aguascalientes,2,Centro Norte
2,Baja California,1,Norte
3,Baja California Sur,2,Centro Norte
4,Campeche,4,Sur
7,Chiapas,4,Sur
8,Chihuahua,1,Norte
5,Coahuila,1,Norte
6,Colima,2,Centro Norte
9,Distrito Federal,3,Centro
10,Durango,2,Centro Norte
11,Guanajuato,3,Centro
12,Guerrero,4,Sur
13,Hidalgo,3,Centro
14,Jalisco,2,Centro Norte
15,Mexico,3,Centro
16,Michoacan,2,Centro Norte
17,Morelos,3,Centro
18,Nayarit,2,Centro Norte
19,Nuevo Leon,1,Norte
20,Oaxaca,4,Sur
21,Puebla,3,Centro
22,Queretaro,3,Centro
23,Quintana Roo,4,Sur
24,San Luis Potosi,2,Centro Norte
25,Sinaloa,2,Centro Norte
26,Sonora,1,Norte
27,Tabasco,4,Sur
28,Tamaulipas,1,Norte
29,Tlaxcala,3,Centro
30,Veracruz,4,Sur
31,Yucatan,4,Sur
32,Zacatecas,2,Centro Norte
