consec,tiempo,anio,timestre,periodo,clave,entidad,inseguridad,inpc_general,inpc_sub,inpc_ser,inpc_viv,inpc_edu,inpc_otros,itaee,itaee_des,itaee_log,itaeepc,itaeepc_des,itaee_logc,itaee_c,itaee_c1,itaee_c2,inpc_general_c1,desocup,desocup_des,salario,salario_log,uscpi,uscpi_log,usmexcpi,usmexcpi_log,usmextiponom,usmextiponom_0,indusmextipo,indusmextipo_0,mxfondeo,mxfondeo_0,usfondeo,usfondeo_0,tipcamnom,ied,ied_mxp,ied_mxp_log,usindpro,usindpro_log,mexindpro,mexindpro_log,mexindpro_e0,inpc12mes,inpc12mes_e0,inpcsub12mes,inpcsub12mes_e0,inpp_e,inpp_e0,inpp_pet,pib1mes_e,pibp12mes_e,pibp12mes_e0,incgb,incgb_0,poblacion,poblacion_0,m1,m1des,pea,pearel,peareal_log,fecanticon,fecanticon_0,tmortinf,tmortinf_0,tmortfet,tmortfet_0,rsid,rsid_0,noresid,noresid_0,carret_2c,carret_4c,carretera_0,isremp,isremp_0,gtosegpub,gtopgj,gtopgj_pc,robos,lesiones,homicidios,patrim,secuestro,delsexual,delotros,clc,tclc_log,frobo,del_cont_salud,del_diversos,flo,tflo_log,fagres,fenfrenta,fejecu,frco,tfrco_log
1,1,2001,1,2001Q1,1,Aguascalientes,0,65.6482100000,69.0623300000,67.5440400000,79.4127600000,45.3077300000,66.4024900000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,120.5871083668,2.0813008811,175.7000000000,2.2447717615,1704.9752466667,3.2317180782,9.6939000000,0.9864985353,82.1097000000,1.9143944654,17.2779032258,1.2374910372,5.5933333333,0.7476707018,9.6939000000,17.0749200000,165.5225669880,2.2188572129,90.8678000000,1.9584100135,99.6586683220,1.9985150797,-0.1428000000,7.0877600000,7.0877600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2800000000,4.1642857143,4.1642857143,4.5000000000,0.6532125138,965235.5199602390,5.9846332952,517443571.3333330000,510335341.6049760000,357979.0000000000,37.0872178445,1.5692242553,3.0000000000,0.4771212547,100.0000000000,2.0000000000,11.2515627170,0.0000000000,88437.0000000000,4.9466340018,31963.0000000000,4.5046475348,2014.0000000000,202.0000000000,3.3455697561,35.0000000000,1.5440680444,0.0000000000,57280314.0000000000,6.7733720948,919.0000000000,470.0000000000,43.0000000000,710.0000000000,0.0000000000,8.0000000000,564.0000000000,2714.0000000000,2.4489765481,919.0000000000,31.0000000000,74.0000000000,105.0000000000,1.0365560038,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,2,2001,2,2001Q2,1,Aguascalientes,0,66.3188100000,69.7935600000,68.5064400000,80.6309500000,45.3077300000,67.4575400000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,125.7847061802,2.0996278396,177.5333333333,2.2492799074,1627.4538311111,3.2115086770,9.1835666667,0.9630113830,77.7933000000,1.8909421947,13.2100000000,1.1209028176,4.3266666667,0.6361534377,9.1835666667,10.5081090000,96.5019195421,1.9845359521,89.6315666667,1.9524609875,99.6335794404,1.9984057331,-2.5118181818,6.8350000000,6.8350000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.0650000000,4.2516666667,4.2516666667,4.5000000000,0.6532125138,970545.3793799870,5.9870158463,519529535.0000000000,524928822.2156170000,368399.0000000000,37.9579366227,1.5793025963,3.0000000000,0.4771212547,89.0000000000,1.9493900066,5.0377833753,0.0000000000,90802.0000000000,4.9580954144,33824.0000000000,4.5292249656,2014.0000000000,202.0000000000,3.3455697561,35.0000000000,1.5440680444,0.0000000000,57280314.0000000000,6.7709895437,975.0000000000,401.0000000000,38.0000000000,574.0000000000,0.0000000000,19.0000000000,640.0000000000,2647.0000000000,2.4357380950,975.0000000000,39.0000000000,94.0000000000,133.0000000000,1.1368357946,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,3,2001,3,2001Q3,1,Aguascalientes,0,66.9731200000,70.4885900000,69.3897000000,80.8805400000,48.4677300000,68.2411800000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,126.6283832729,2.1025310621,177.7666666667,2.2498503290,1641.7287144444,3.2153013942,9.2371333333,0.9655372125,77.5718000000,1.8897038691,9.3140000000,0.9691362336,3.4966666667,0.5436542335,9.2371333333,5.0761810000,46.8893607211,1.6710743117,88.3735666667,1.9463223830,100.0533309828,2.0002315518,-4.4884000000,5.7196296296,5.7196296296,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2122260185,4.5629629630,4.5629629630,4.5000000000,0.6532125138,975884.4488800470,5.9893983974,553893965.6666670000,568278401.7426950000,379858.0000000000,38.9244854179,1.5902228799,3.0000000000,0.4771212547,91.0000000000,1.9590413923,10.8948883103,0.0000000000,93533.0000000000,4.9709648642,34506.0000000000,4.5378946180,2014.0000000000,202.0000000000,3.3455697561,35.0000000000,1.5440680444,0.0000000000,57280314.0000000000,6.7686069926,942.0000000000,480.0000000000,26.0000000000,696.0000000000,0.0000000000,15.0000000000,745.0000000000,2904.0000000000,2.4735982146,942.0000000000,49.0000000000,79.0000000000,128.0000000000,1.1178115723,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,4,2001,4,2001Q4,1,Aguascalientes,0,68.0689300000,71.5509100000,70.6469800000,81.5344900000,54.4892000000,68.7047900000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,131.8782199755,2.1201730766,177.2666666667,2.2486270783,1640.1887500000,3.2148938288,9.2415666667,0.9657456008,76.4004333333,1.8830958218,7.9580952381,0.9008091322,2.1333333333,0.3290587193,9.2415666667,71.0927760000,657.0086289224,2.8175710735,87.3656666667,1.9413407953,99.6145096678,1.9983226016,-3.0605000000,4.9204545455,4.9204545455,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.2603728213,4.6146428571,4.6146428571,4.5000000000,0.6532125138,981252.8891480600,5.9917809485,622911175.3333330000,609575172.6126460000,379945.0000000000,38.7203955476,1.5879397852,3.0000000000,0.4771212547,102.0000000000,2.0086001718,9.2729970326,0.0000000000,96427.0000000000,4.9841986554,36009.0000000000,4.5564110608,2014.0000000000,202.0000000000,3.3455697561,35.0000000000,1.5440680444,0.0000000000,57280314.0000000000,6.7662244416,819.0000000000,467.0000000000,47.0000000000,695.0000000000,0.0000000000,22.0000000000,697.0000000000,2747.0000000000,2.4470777110,819.0000000000,53.0000000000,108.0000000000,161.0000000000,1.2150449276,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5,5,2002,1,2002Q1,1,Aguascalientes,0,68.5473400000,72.1546100000,71.6712400000,82.5135100000,54.6562200000,70.0310100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.4161600141,0.0000000000,0.0000000000,136.2713245799,2.1344044774,177.9000000000,2.2501759481,1622.3416577778,3.2101423200,9.1107000000,0.9595517463,74.6084000000,1.8727877265,7.6210169492,0.8820129275,1.7333333333,0.2388820889,9.1107000000,-30.6886110000,-279.5947282377,-2.4465289785,87.9532333333,1.9442518096,98.5571456145,1.9936881171,-3.0000000000,4.4411071429,4.4411071429,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.5681176292,4.6800000000,4.6800000000,4.5000000000,0.6532125138,986650.8617556290,5.9941634995,634818137.3333330000,626431545.4279040000,383116.0000000000,38.8299463215,1.5891667902,3.0000000000,0.4771212547,95.0000000000,1.9777236053,5.7074196455,0.7564398058,97907.0000000000,4.9908137434,36219.0000000000,4.5589364554,2040.0000000000,190.0000000000,3.3483048630,35.0000000000,1.5440680444,0.0000000000,63366666.0000000000,6.8076973580,839.0000000000,448.0000000000,39.0000000000,806.0000000000,0.0000000000,14.0000000000,688.0000000000,2834.0000000000,2.4582363464,839.0000000000,46.0000000000,110.0000000000,156.0000000000,1.1989610988,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6,6,2002,2,2002Q2,1,Aguascalientes,0,69.6197300000,73.0360700000,72.7413800000,83.7415700000,54.7397300000,71.2805500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.9773510713,0.0000000000,0.0000000000,138.3230733227,2.1408946297,179.8333333333,2.2548701943,1701.4576622222,3.2308211469,9.4824333333,0.9769197981,77.2923000000,1.8881362309,6.5726562500,0.8177409193,1.7500000000,0.2430380487,9.4824333333,9.0794100000,86.0949000310,1.9349774261,89.3405666667,1.9510487028,99.3248500435,1.9970579180,1.6265217391,4.1455000000,4.1455000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.5996939156,4.4566666667,4.4566666667,4.5000000000,0.6532125138,992078.5291631760,5.9965460506,639033758.0000000000,645495263.7804800000,388261.0000000000,39.1361155984,1.5925777182,3.0000000000,0.4771212547,104.0000000000,2.0170333393,5.3609721229,0.7292435489,101064.0000000000,5.0045964831,36559.0000000000,4.5629943079,2040.0000000000,190.0000000000,3.3483048630,35.0000000000,1.5440680444,0.0000000000,63366666.0000000000,6.8053148070,856.0000000000,580.0000000000,47.0000000000,828.0000000000,0.0000000000,19.0000000000,812.0000000000,3142.0000000000,2.5006601301,856.0000000000,63.0000000000,119.0000000000,182.0000000000,1.2635253374,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7,7,2002,3,2002Q3,1,Aguascalientes,0,70.6149500000,73.9786200000,74.0910300000,84.7032100000,57.5447100000,72.4133700000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.4377487565,0.0000000000,0.0000000000,140.5854475180,2.1479403677,180.6000000000,2.2567177460,1785.6223966667,3.2517896246,9.8972666667,0.9955152718,80.2836333333,1.9046270188,6.8509230769,0.8357490912,1.7400000000,0.2405492483,9.8972666667,10.4798874500,103.7222407293,2.0158718903,89.8702000000,1.9536157082,99.4576937522,1.9976383845,2.1026315789,4.0492068966,4.0492068966,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.5829632662,2.8531034483,2.8531034483,4.5000000000,0.6532125138,997536.0547248380,5.9989286017,650919067.6666670000,667355429.4180100000,384523.0000000000,38.5472783844,1.5859937203,3.0000000000,0.4771212547,93.0000000000,1.9684829486,2.4140012070,0.3827374829,103549.0000000000,5.0151459092,36990.0000000000,4.5680843313,2040.0000000000,190.0000000000,3.3483048630,35.0000000000,1.5440680444,0.0000000000,63366666.0000000000,6.8029322559,840.0000000000,543.0000000000,38.0000000000,831.0000000000,1.0000000000,12.0000000000,811.0000000000,3076.0000000000,2.4890577294,840.0000000000,46.0000000000,92.0000000000,138.0000000000,1.1409504847,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8,8,2002,4,2002Q4,1,Aguascalientes,0,71.5823700000,74.7403700000,75.7159100000,85.7768600000,62.6883400000,73.2857500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1615913457,0.0000000000,0.0000000000,142.4049857689,2.1535251947,181.1666666667,2.2580782937,1846.1212000000,3.2662602096,10.1724666667,1.0074262754,81.4561333333,1.9109237906,7.5300000000,0.8767949762,1.4433333333,0.1593666416,10.1724666667,21.7218362000,220.9646546833,2.3443228099,89.8363333333,1.9534520179,99.4998873803,1.9978225892,1.6776000000,4.2075000000,4.2075000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.1419366875,1.4190482125,1.4190482125,4.5000000000,0.6532125138,1003023.6026933800,6.0013111528,699523157.3333330000,684882796.4686690000,386261.0000000000,38.5096620820,1.5855697078,3.0000000000,0.4771212547,141.0000000000,2.1492191127,8.0025608195,0.9032289835,108101.0000000000,5.0338297115,37631.0000000000,4.5755457593,2040.0000000000,190.0000000000,3.3483048630,35.0000000000,1.5440680444,0.0000000000,63366666.0000000000,6.8005497048,790.0000000000,458.0000000000,48.0000000000,879.0000000000,1.0000000000,10.0000000000,714.0000000000,2900.0000000000,2.4610868451,790.0000000000,42.0000000000,64.0000000000,106.0000000000,1.0239947125,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9,9,2003,1,2003Q1,1,Aguascalientes,0,71.6937700000,74.7622100000,76.2359300000,86.1923800000,62.6883400000,74.0379100000,96.5880172210,99.5539587105,1.9849232509,0.0000957700,0.0000986019,0.7594779124,1.7641428960,0.0000000000,0.0000000000,4.5901562336,0.0000000000,0.0000000000,143.2540520313,2.1561069151,183.0000000000,2.2624510897,1984.7791366667,3.2977121861,10.8233000000,1.0343596964,86.3369666667,1.9361967862,8.8075409836,0.9448546727,1.2500000000,0.0969100130,10.8233000000,11.7486990000,127.1596938867,2.1043494738,90.5189333333,1.9567394276,100.7079990645,2.0030639672,3.3568000000,4.2709310345,4.2709310345,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.5413333333,3.9967857143,3.9967857143,3.9000000000,0.5910646070,1008541.3382251300,6.0036937038,714088203.3333330000,705405013.2756040000,383183.0000000000,37.9937822553,1.5797125294,3.0000000000,0.4771212547,92.0000000000,1.9637878273,6.2913808083,0.7987459732,111381.0000000000,5.0468111128,38211.0000000000,4.5821884035,2084.0000000000,218.0000000000,3.3621053193,34.0000000000,1.5314789170,0.0000000000,57131000.0000000000,6.7531781220,850.0000000000,439.0000000000,36.0000000000,808.0000000000,0.0000000000,15.0000000000,678.0000000000,2826.0000000000,2.4474784537,850.0000000000,40.0000000000,137.0000000000,177.0000000000,1.2442795625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10,10,2003,2,2003Q2,1,Aguascalientes,0,71.8296300000,74.9781600000,76.9594400000,86.7353900000,62.6883400000,75.1072600000,99.8225997781,100.3162071850,1.9992288764,0.0000984357,0.0000988826,0.9318240863,2.1687878509,0.0000000000,0.0000000000,3.1742438530,0.0000000000,0.0000000000,146.6770706845,2.1663622280,183.6666666667,2.2640303441,1912.6988400000,3.2816465945,10.4492000000,1.0190830417,83.4035666667,1.9211846232,6.0111290323,0.7789560504,1.2466666667,0.0957503475,10.4492000000,12.8872850000,134.6618184220,2.1292444747,89.7641666667,1.9531030034,99.8422664408,1.9993144310,0.2070833333,4.3070322581,4.3070322581,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.1563870968,4.0033333333,4.0033333333,3.9000000000,0.5910646070,1014089.4273849600,6.0060762549,714356163.8200000000,720949256.7179210000,393782.0000000000,38.8310921469,1.5891796055,2.9000000000,0.4623979979,83.0000000000,1.9190780924,11.2043271884,1.0493857826,116754.0000000000,5.0672717685,38875.0000000000,4.5896704020,2084.0000000000,218.0000000000,3.3621053193,34.0000000000,1.5314789170,0.0000000000,57131000.0000000000,6.7507955710,893.0000000000,518.0000000000,44.0000000000,735.0000000000,0.0000000000,12.0000000000,613.0000000000,2815.0000000000,2.4434021443,893.0000000000,43.0000000000,83.0000000000,126.0000000000,1.0942942902,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
